region_name,pays,andwi,ari,ari2,arvi,atsavi,avi,aweinsh,aweish,bai,bcc,bi,bitm,bixs,blfei,bndvi,brba,dbi,dbsi,ebbi,embi,evi,fai,ibi,lswi,malaria prevalence,nbai,ndvi,ndyi,wi2
Gao,mali,-0.35037752985954285,-0.18589361011981964,-0.07692909985780716,0.2198496311903,0.05513430014252663,0.11344190686941147,-0.16784511506557465,-0.8319146037101746,0.43428805470466614,0.18371561169624329,0.2346864938735962,0.2281516194343567,0.2667066156864166,-0.24420444667339325,0.5413739681243896,0.6059208512306213,-1.117585301399231,0.3019740879535675,6.883084424771369e-4,0.14608152210712433,1005.4047241210938,-0.22282147407531738,8.89222526550293,-0.13229523599147797,0.20861218869686127,-0.7101131677627563,1432.497802734375,0.27923473715782166,-0.5672613382339478
Kidal,mali,-0.3310365080833435,-0.17630569636821747,-0.07423878461122513,0.22131533920764923,0.05400319769978523,,-0.004118258133530617,-0.7968117594718933,0.4493200480937958,0.19963736832141876,0.21992799639701843,0.24748031795024872,0.286274790763855,-0.2126794457435608,0.48803094029426575,0.6285040974617004,-1.1039499044418335,0.2838614881038666,6.73316593747586e-4,0.10482007265090942,840.66729736328125,-0.2147122323513031,-15.918296813964844,-0.12723705172538757,0.16042493283748627,-0.6623741984367371,1126.5667724609375,0.2546177804470062,-0.543138325214386
Bamako,mali,-0.32915693521499634,-0.09439617395401001,-0.01967819593846798,0.3062138855457306,0.05275965854525566,0.05485721677541733,-0.016432445496320724,-0.3610486686229706,0.1623491495847702,0.20777222514152527,0.15842987596988678,0.10442294180393219,0.12005011737346649,-0.21400952339172363,0.5117061138153076,0.6273603439331055,-1.1817611455917358,0.17351225018501282,1.5686132246628404e-4,0.07279247790575027,1633.5015869140625,-0.0726439505815506,-2.495190382003784,-0.0587942898273468,0.1634056270122528,-0.8410581946372986,2538.620849609375,0.15155340731143951,-0.32839974761009216
Menaka,mali,-0.3335743546485901,-0.1910773068666458,-0.08020111918449402,0.23515291512012482,0.056664999574422836,0.1968843936920166,-0.15499474108219147,-0.7991651296615601,0.41056302189826965,0.19240494072437286,0.21361181139945984,0.2314406782388687,0.26899614930152893,-0.24028930068016052,0.5249835848808289,0.6221441626548767,-1.125859022140503,0.2760935127735138,5.499439430423081e-4,0.12764675915241241,1034.0982666015625,-0.19091671705245972,-4.917452335357666,-0.11047084629535675,0.18470411002635956,-0.7100704908370972,1419.1837158203125,0.26797130703926086,-0.5483441948890686
Zinder,niger,-0.3182864487171173,-0.2135612964630127,-0.10430529713630676,0.2475547194480896,0.058770421892404556,,-0.01717141829431057,-0.8624632954597473,0.4582905173301697,0.20042157173156738,0.19151997566223145,0.2786870002746582,0.32205677032470703,-0.21348880231380463,0.5037934184074402,0.6509218811988831,-1.1299692392349243,0.23842443525791168,4.990912275388837e-4,0.08621801435947418,1299.226318359375,-0.18368293344974518,-10.34941577911377,-0.08639276027679443,0.2813367545604706,-0.6407214999198914,1643.950439453125,0.25458332896232605,-0.524691104888916
Dosso,niger,-0.40485936403274536,-0.20796175301074982,-0.07878384739160538,0.30843880772590637,0.06551235914230347,,-0.286983847618103,-0.8415005803108215,0.3462062180042267,0.19357481598854065,0.2034386694431305,0.1840515285730362,0.21383872628211975,-0.28606346249580383,0.5811175107955933,0.5314184427261353,-1.2037172317504883,0.2731088399887085,5.361337098293006e-4,0.1955973207950592,1759.3681640625,-0.2040732204914093,-5.690093517303467,-0.1108408197760582,0.36909589171409607,-0.7678458094596863,2391.98583984375,0.21016015112400055,-0.484620600938797
Tillaberi,niger,-0.3686996102333069,-0.19876685738563538,-0.07837212085723877,0.25886204838752747,0.0596693716943264,0.18708355724811554,-0.2640187442302704,-0.831966757774353,0.3895244896411896,0.18945501744747162,0.21858957409858704,0.20730186998844147,0.2415453940629959,-0.2685895562171936,0.5574396848678589,0.5783500671386719,-1.1548800468444824,0.29206886887550354,5.931187770329416e-4,0.1731017678976059,1323.098388671875,-0.20787233114242554,-0.4087258279323578,-0.1191343143582344,0.2861131727695465,-0.746878981590271,1831.48193359375,0.22923582792282104,-0.5058507323265076
Tahoua,niger,-0.35064032673835754,-0.19717663526535034,-0.08117403835058212,0.25216376781463623,0.058725763112306595,0.19576571881771088,-0.16671831905841827,-0.8089932799339294,0.39156270027160645,0.19211679697036743,0.2091696858406067,0.2207481861114502,0.2564556896686554,-0.2464250922203064,0.5403250455856323,0.6056757569313049,-1.1442614793777466,0.27356237173080444,5.21692621987313e-4,0.13873787224292755,1242.2117919921875,-0.18781746923923492,-5.417325496673584,-0.10625848174095154,0.23054030537605286,-0.7202260494232178,1704.234375,0.2529922425746918,-0.5419097542762756
Agadez,niger,-0.32139652967453003,-0.20032212138175964,-0.09768307954072952,0.20538082718849182,0.053871139883995056,,0.05702745541930199,-0.8775812387466431,0.5020487904548645,0.19245485961437225,0.2180347740650177,0.2874291241168976,0.33393824100494385,-0.1980210840702057,0.5010708570480347,0.6644625663757324,-1.0942401885986328,0.2795226573944092,6.536353612318635e-4,0.08737216144800186,800.61785888671875,-0.20939747989177704,2.2047603130340576,-0.11042485386133194,0.1643112599849701,-0.6184381246566772,1056.82470703125,0.28086963295936584,-0.5850106477737427
Niamey,niger,-0.37604787945747375,-0.16407568752765656,-0.05415404587984085,0.23534846305847168,0.05538826063275337,,-0.1779685765504837,-0.6990329623222351,0.3212771713733673,0.17188146710395813,0.22823601961135864,0.16714727878570557,0.1968822181224823,-0.24809856712818146,0.5928405523300171,0.6003469228744507,-1.1443110704421997,0.29634135961532593,4.880641936324537e-4,0.158066526055336,1169.1634521484375,-0.1685260385274887,-3.6493587493896484,-0.11130587756633759,0.23836778104305267,-0.7826377153396606,1784.8310546875,0.2267712503671646,-0.4915677607059479
